Model name,R^2
LinearRegression,0.8922460832759864
Lasso,0.8916028707709553
Гребневая,0.8921977286303956
Elastic-Net,0.8925389381388311
Lars,0.8922460832759864
BayesianRidge,0.8924807444099746
GLS,0.8910293091439689
WLS,0.8909086473008183
Polynomial,0.8931716995753528
NonParam,0.9005487715558134
