,Model name,ROC-AUC
0,knn,0.939
1,log_reg,0.857
2,gauss_nb,0.8729607018637147
3,svc,0.8871510317521701
4,lda,0.8571347240480452
5,qda,0.8801001538220596
6,tree,0.9029598488954684
