,Model name,R^2
0,LinearRegression,0.8922460832759864
1,Lasso,0.8916028707709553
2,Гребневая,0.8921977286303956
3,Elastic-Net,0.8925389381388311
4,Lars,0.8922460832759864
5,BayesianRidge,0.8924807444099746
6,GLS,0.8910293091439689
7,WLS,0.8909086473008183
8,Polynomial,0.8931716995753528
9,NonParam,0.9005487715558134
10,Tree,0.8650335849321406
